onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1495.JPG	0	3#	New	0.823	0
3.5	3.5	First	stimuli/objects/setsof2/125a.jpg	125	3#	New	0.480	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1290.JPG	0	3#	New	0.776	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1349.JPG	0	3#	New	0.772	0
14.0	3.5	First	stimuli/objects/setsof2/175b.jpg	175	3#	New	0.816	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1518.JPG	0	3#	New	0.790	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1324.jpg	0	3#	New	0.840	0
24.5	3.5	First	stimuli/objects/setsof2/101a.jpg	101	3#	New	0.745	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1377.JPG	0	3#	New	0.710	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1563.JPG	0	3#	New	0.910	0
35.0	3.5	First	stimuli/objects/setsof2/063a.jpg	63	3#	New	0.609	0
38.5	3.5	Foil	stimuli/objects/foils/foil_1557.JPG	0	3#	New	0.898	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1098.JPG	0	3#	New	0.802	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1588.JPG	0	3#	New	0.762	0
49.0	3.5	Repeat	stimuli/objects/setsof2/175b.jpg	175	1!	Old	1.505	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1148.JPG	0	3#	New	0.805	0
56.0	3.5	First	stimuli/objects/setsof2/062b.jpg	62	3#	New	0.755	0
59.5	3.5	Repeat	stimuli/objects/setsof2/101a.jpg	101	1!	Old	1.031	0
63.0	3.5	Foil	stimuli/objects/foils/foil_1515.JPG	0	3#	New	0.949	0
66.5	3.5	First	stimuli/objects/setsof2/038a.jpg	38	3#	New	0.700	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1333.JPG	0	3#	New	0.832	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1023.jpg	0	3#	New	0.736	0
77.0	3.5	First	stimuli/objects/setsof2/054a.jpg	54	3#	New	0.742	0
80.5	3.5	Lure	stimuli/objects/setsof2/038b.jpg	38	5%	None	1.742	5
84.0	3.5	First	stimuli/objects/setsof2/091b.jpg	91	3#	New	1.063	0
87.5	3.5	Foil	stimuli/objects/foils/foil_1007.jpg	0	3#	New	0.897	0
91.0	3.5	Lure	stimuli/objects/setsof2/062a.jpg	62	2@	Similar	1.336	2
94.5	3.5	Foil	stimuli/objects/foils/foil_1616.JPG	0	3#	New	0.745	0
98.0	3.5	First	stimuli/objects/setsof2/191a.jpg	191	3#	New	0.866	0
101.5	3.5	Lure	stimuli/objects/setsof2/054b.jpg	54	2@	Similar	1.130	1
105.0	3.5	Foil	stimuli/objects/foils/foil_1116.JPG	0	3#	New	0.808	0
108.5	3.5	First	stimuli/objects/setsof2/180b.jpg	180	3#	New	0.970	0
112.0	3.5	Foil	stimuli/objects/foils/foil_1320.JPG	0	3#	New	0.810	0
115.5	3.5	Foil	stimuli/objects/foils/foil_1576.JPG	0	3#	New	0.973	0
119.0	3.5	First	stimuli/objects/setsof2/059b.jpg	59	3#	New	0.791	0
122.5	3.5	Foil	stimuli/objects/foils/foil_1029.JPG	0	3#	New	0.742	0
126.0	3.5	Foil	stimuli/objects/foils/foil_1507.JPG	0	3#	New	1.003	0
129.5	3.5	First	stimuli/objects/setsof2/133a.jpg	133	3#	New	0.909	0
133.0	3.5	Lure	stimuli/objects/setsof2/191b.jpg	191	2@	Similar	1.549	5
