onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1694.jpg	0	5%	None	1.723	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1085.JPG	0	3#	New	0.634	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1253.JPG	0	3#	New	0.721	0
10.5	3.5	First	stimuli/objects/setsof2/172b.jpg	172	3#	New	0.489	0
14.0	3.5	Foil	stimuli/objects/foils/foil_1433.JPG	0	3#	New	0.501	0
17.5	3.5	First	stimuli/objects/setsof2/156a.jpg	156	3#	New	0.424	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1090.JPG	0	3#	New	0.579	0
24.5	3.5	First	stimuli/objects/setsof2/157b.jpg	157	3#	New	0.561	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1261.JPG	0	3#	New	0.458	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1488.JPG	0	3#	New	0.631	0
35.0	3.5	Foil	stimuli/objects/foils/foil_1033.JPG	0	2@	Similar	1.737	0
38.5	3.5	Repeat	stimuli/objects/setsof2/172b.jpg	172	1!	Old	1.477	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1030.JPG	0	3#	New	0.848	0
45.5	3.5	First	stimuli/objects/setsof2/144b.jpg	144	3#	New	0.778	0
49.0	3.5	First	stimuli/objects/setsof2/084a.jpg	84	3#	New	0.786	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1172.JPG	0	3#	New	0.711	0
56.0	3.5	Repeat	stimuli/objects/setsof2/156a.jpg	156	1!	Old	1.190	0
59.5	3.5	Lure	stimuli/objects/setsof2/157a.jpg	157	1!	Old	1.380	3
63.0	3.5	First	stimuli/objects/setsof2/029a.jpg	29	3#	New	0.773	0
66.5	3.5	First	stimuli/objects/setsof2/129b.jpg	129	3#	New	0.763	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1594.JPG	0	3#	New	0.693	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1702.JPG	0	3#	New	0.756	0
77.0	3.5	First	stimuli/objects/setsof2/015a.jpg	15	3#	New	0.797	0
80.5	3.5	Foil	stimuli/objects/foils/foil_1490.JPG	0	3#	New	1.009	0
84.0	3.5	Foil	stimuli/objects/foils/foil_1407.JPG	0	3#	New	0.804	0
87.5	3.5	First	stimuli/objects/setsof2/169a.jpg	169	3#	New	0.788	0
91.0	3.5	Lure	stimuli/objects/setsof2/144a.jpg	144	2@	Similar	1.285	3
94.5	3.5	Foil	stimuli/objects/foils/foil_1685.JPG	0	3#	New	0.823	0
98.0	3.5	First	stimuli/objects/setsof2/170b.jpg	170	3#	New	1.302	0
101.5	3.5	Lure	stimuli/objects/setsof2/129a.jpg	129	2@	Similar	1.295	4
105.0	3.5	Foil	stimuli/objects/foils/foil_1436.JPG	0	3#	New	1.347	0
108.5	3.5	First	stimuli/objects/setsof2/059a.jpg	59	3#	New	1.218	0
112.0	3.5	Repeat	stimuli/objects/setsof2/015a.jpg	15	1!	Old	1.445	0
115.5	3.5	Foil	stimuli/objects/foils/foil_1189.JPG	0	3#	New	1.311	0
119.0	3.5	First	stimuli/objects/setsof2/058a.jpg	58	3#	New	1.296	0
122.5	3.5	Foil	stimuli/objects/foils/foil_1478.JPG	0	3#	New	1.208	0
126.0	3.5	Lure	stimuli/objects/setsof2/029b.jpg	29	2@	Similar	1.144	1
129.5	3.5	Foil	stimuli/objects/foils/foil_1091.JPG	0	3#	New	1.351	0
133.0	3.5	First	stimuli/objects/setsof2/064b.jpg	64	3#	New	1.263	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1271.JPG	0	3#	New	1.324	0
140.0	3.5	Repeat	stimuli/objects/setsof2/170b.jpg	170	1!	Old	1.624	0
143.5	3.5	Foil	stimuli/objects/foils/foil_1659.JPG	0	3#	New	1.184	0
147.0	3.5	First	stimuli/objects/setsof2/065a.jpg	65	3#	New	1.152	0
150.5	3.5	First	stimuli/objects/setsof2/146b.jpg	146	3#	New	1.359	0
154.0	3.5	Lure	stimuli/objects/setsof2/058b.jpg	58	5%	None	1.739	2
157.5	3.5	Foil	stimuli/objects/foils/foil_1169.JPG	0	5%	None	1.738	0
161.0	3.5	First	stimuli/objects/setsof2/030b.jpg	30	3#	New	1.243	0
164.5	3.5	Foil	stimuli/objects/foils/foil_1389.JPG	0	3#	New	1.169	0
168.0	3.5	Foil	stimuli/objects/foils/foil_1278.JPG	0	3#	New	1.134	0
171.5	3.5	First	stimuli/objects/setsof2/042b.jpg	42	5%	None	1.738	0
175.0	3.5	Foil	stimuli/objects/foils/foil_1672.JPG	0	3#	New	1.413	0
178.5	3.5	Repeat	stimuli/objects/setsof2/084a.jpg	84	1!	Old	1.271	0
182.0	3.5	First	stimuli/objects/setsof2/168a.jpg	168	3#	New	1.162	0
185.5	3.5	Foil	stimuli/objects/foils/foil_1048.JPG	0	3#	New	1.226	0
189.0	3.5	Foil	stimuli/objects/foils/foil_1697.jpg	0	3#	New	1.036	0
192.5	3.5	First	stimuli/objects/setsof2/100b.jpg	100	3#	New	0.968	0
196.0	3.5	Foil	stimuli/objects/foils/foil_1087.JPG	0	3#	New	1.621	0
199.5	3.5	Foil	stimuli/objects/foils/foil_1124.JPG	0	3#	New	1.190	0
203.0	3.5	First	stimuli/objects/setsof2/037b.jpg	37	3#	New	1.226	0
206.5	3.5	Foil	stimuli/objects/foils/foil_1066.JPG	0	3#	New	1.216	0
210.0	3.5	Foil	stimuli/objects/foils/foil_1317.JPG	0	3#	New	1.221	0
213.5	3.5	First	stimuli/objects/setsof2/124a.jpg	124	5%	None	1.735	0
217.0	3.5	Foil	stimuli/objects/foils/foil_1245.JPG	0	3#	New	1.338	0
220.5	3.5	Foil	stimuli/objects/foils/foil_1061.JPG	0	3#	New	1.454	0
224.0	3.5	First	stimuli/objects/setsof2/026b.jpg	26	5%	None	1.734	0
227.5	3.5	Lure	stimuli/objects/setsof2/169b.jpg	169	1!	Old	1.273	5
231.0	3.5	Repeat	stimuli/objects/setsof2/065a.jpg	65	1!	Old	1.010	0
234.5	3.5	First	stimuli/objects/setsof2/004a.jpg	4	3#	New	1.395	0
238.0	3.5	Foil	stimuli/objects/foils/foil_1060.JPG	0	3#	New	1.249	0
241.5	3.5	Foil	stimuli/objects/foils/foil_1163.JPG	0	3#	New	0.836	0
245.0	3.5	Repeat	stimuli/objects/setsof2/037b.jpg	37	1!	Old	1.521	0
248.5	3.5	Lure	stimuli/objects/setsof2/059b.jpg	59	2@	Similar	1.359	1
252.0	3.5	Foil	stimuli/objects/foils/foil_1042.JPG	0	3#	New	1.098	0
255.5	3.5	First	stimuli/objects/setsof2/137a.jpg	137	3#	New	1.330	0
259.0	3.5	Repeat	stimuli/objects/setsof2/026b.jpg	26	1!	Old	1.093	0
262.5	3.5	Repeat	stimuli/objects/setsof2/100b.jpg	100	1!	Old	1.448	0
266.0	3.5	First	stimuli/objects/setsof2/104b.jpg	104	5%	None	1.732	0
269.5	3.5	Lure	stimuli/objects/setsof2/064a.jpg	64	1!	Old	1.491	5
273.0	3.5	Foil	stimuli/objects/foils/foil_1338.JPG	0	3#	New	1.341	0
276.5	3.5	First	stimuli/objects/setsof2/022b.jpg	22	3#	New	1.258	0
280.0	3.5	Lure	stimuli/objects/setsof2/104a.jpg	104	2@	Similar	1.291	3
283.5	3.5	Repeat	stimuli/objects/setsof2/124a.jpg	124	1!	Old	1.310	0
287.0	3.5	First	stimuli/objects/setsof2/189a.jpg	189	3#	New	1.136	0
290.5	3.5	First	stimuli/objects/setsof2/148b.jpg	148	5%	None	1.731	0
294.0	3.5	Lure	stimuli/objects/setsof2/146a.jpg	146	5%	None	1.731	1
297.5	3.5	First	stimuli/objects/setsof2/105b.jpg	105	5%	None	1.731	0
301.0	3.5	Lure	stimuli/objects/setsof2/030a.jpg	30	2@	Similar	1.215	1
304.5	3.5	Foil	stimuli/objects/foils/foil_1315.JPG	0	3#	New	1.131	0
308.0	3.5	First	stimuli/objects/setsof2/063b.jpg	63	3#	New	1.499	0
311.5	3.5	Lure	stimuli/objects/setsof2/004b.jpg	4	1!	Old	1.300	6
315.0	3.5	Lure	stimuli/objects/setsof2/042a.jpg	42	2@	Similar	1.153	3
318.5	3.5	First	stimuli/objects/setsof2/138a.jpg	138	3#	New	0.828	0
322.0	3.5	Repeat	stimuli/objects/setsof2/168a.jpg	168	1!	Old	1.036	0
325.5	3.5	Lure	stimuli/objects/setsof2/137b.jpg	137	1!	Old	1.529	4
329.0	3.5	Foil	stimuli/objects/foils/foil_1722.JPG	0	3#	New	1.000	0
332.5	3.5	Lure	stimuli/objects/setsof2/105a.jpg	105	2@	Similar	1.285	5
336.0	3.5	First	stimuli/objects/setsof2/151b.jpg	151	3#	New	1.590	0
339.5	3.5	Repeat	stimuli/objects/setsof2/189a.jpg	189	1!	Old	1.449	0
343.0	3.5	Repeat	stimuli/objects/setsof2/063b.jpg	63	1!	Old	1.217	0
346.5	3.5	Lure	stimuli/objects/setsof2/022a.jpg	22	1!	Old	1.146	5
350.0	3.5	Foil	stimuli/objects/foils/foil_1400.jpg	0	3#	New	1.588	0
353.5	3.5	Repeat	stimuli/objects/setsof2/138a.jpg	138	1!	Old	1.117	0
357.0	3.5	Foil	stimuli/objects/foils/foil_1540.JPG	0	3#	New	1.444	0
360.5	3.5	Repeat	stimuli/objects/setsof2/148b.jpg	148	1!	Old	1.473	0
364.0	3.5	Repeat	stimuli/objects/setsof2/151b.jpg	151	1!	Old	1.095	0
367.5	3.5	Foil	stimuli/objects/foils/foil_1430.JPG	0	3#	New	1.332	0
371.0	3.5	Foil	stimuli/objects/foils/foil_1652.JPG	0	3#	New	1.251	0
