onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1387.JPG	0	3#	New	1.616	0
3.5	3.5	First	stimuli/objects/setsof2/187a.jpg	187	3#	New	1.720	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1017.jpg	0	3#	New	1.543	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1163.JPG	0	3#	New	1.394	0
14.0	3.5	Foil	stimuli/objects/foils/foil_1277.JPG	0	3#	New	0.916	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1303.JPG	0	3#	New	0.941	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1514.JPG	0	3#	New	1.358	0
24.5	3.5	First	stimuli/objects/setsof2/192a.jpg	192	3#	New	1.401	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1522.JPG	0	3#	New	1.613	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1721.JPG	0	3#	New	1.123	0
35.0	3.5	First	stimuli/objects/setsof2/176a.jpg	176	3#	New	1.473	0
38.5	3.5	Repeat	stimuli/objects/setsof2/187a.jpg	187	1!	Old	1.149	0
42.0	3.5	First	stimuli/objects/setsof2/146a.jpg	146	3#	New	0.879	0
45.5	3.5	First	stimuli/objects/setsof2/131b.jpg	131	3#	New	0.808	0
49.0	3.5	Foil	stimuli/objects/foils/foil_1648.JPG	0	3#	New	1.272	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1703.JPG	0	3#	New	1.333	0
56.0	3.5	Foil	stimuli/objects/foils/foil_1342.JPG	0	3#	New	0.748	0
59.5	3.5	First	stimuli/objects/setsof2/117a.jpg	117	3#	New	1.208	0
63.0	3.5	Repeat	stimuli/objects/setsof2/192a.jpg	192	5%	None	1.742	0
66.5	3.5	Foil	stimuli/objects/foils/foil_1556.JPG	0	3#	New	0.774	0
70.0	3.5	Repeat	stimuli/objects/setsof2/176a.jpg	176	1!	Old	1.330	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1340.JPG	0	3#	New	0.736	0
77.0	3.5	First	stimuli/objects/setsof2/166b.jpg	166	3#	New	1.018	0
80.5	3.5	Lure	stimuli/objects/setsof2/131a.jpg	131	1!	Old	1.680	3
84.0	3.5	Foil	stimuli/objects/foils/foil_1080.JPG	0	3#	New	1.010	0
87.5	3.5	First	stimuli/objects/setsof2/169a.jpg	169	3#	New	0.976	0
91.0	3.5	Lure	stimuli/objects/setsof2/117b.jpg	117	2@	Similar	1.139	2
94.5	3.5	Foil	stimuli/objects/foils/foil_1225.JPG	0	3#	New	1.164	0
98.0	3.5	First	stimuli/objects/setsof2/077b.jpg	77	3#	New	0.748	0
101.5	3.5	First	stimuli/objects/setsof2/181b.jpg	181	3#	New	1.554	0
105.0	3.5	Repeat	stimuli/objects/setsof2/169a.jpg	169	5%	None	1.740	0
108.5	3.5	Foil	stimuli/objects/foils/foil_1046.JPG	0	3#	New	0.811	0
112.0	3.5	Foil	stimuli/objects/foils/foil_1531.JPG	0	5%	None	1.740	0
115.5	3.5	First	stimuli/objects/setsof2/132b.jpg	132	3#	New	0.978	0
119.0	3.5	First	stimuli/objects/setsof2/057b.jpg	57	3#	New	0.987	0
122.5	3.5	Foil	stimuli/objects/foils/foil_1607.JPG	0	5%	None	1.739	0
126.0	3.5	Foil	stimuli/objects/foils/foil_1076.JPG	0	3#	New	0.768	0
129.5	3.5	First	stimuli/objects/setsof2/042a.jpg	42	3#	New	0.876	0
133.0	3.5	Foil	stimuli/objects/foils/foil_1643.JPG	0	3#	New	0.878	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1509.JPG	0	3#	New	1.520	0
140.0	3.5	First	stimuli/objects/setsof2/168a.jpg	168	2@	Similar	1.232	0
143.5	3.5	Foil	stimuli/objects/foils/foil_1669.JPG	0	3#	New	1.324	0
147.0	3.5	Foil	stimuli/objects/foils/foil_1625.JPG	0	3#	New	1.288	0
150.5	3.5	First	stimuli/objects/setsof2/044a.jpg	44	5%	None	1.737	0
154.0	3.5	Foil	stimuli/objects/foils/foil_1559.JPG	0	3#	New	1.279	0
157.5	3.5	Lure	stimuli/objects/setsof2/146b.jpg	146	2@	Similar	1.389	1
161.0	3.5	Foil	stimuli/objects/foils/foil_1240.JPG	0	3#	New	0.737	0
164.5	3.5	Foil	stimuli/objects/foils/foil_1692.JPG	0	3#	New	0.853	0
168.0	3.5	First	stimuli/objects/setsof2/085a.jpg	85	3#	New	1.725	0
171.5	3.5	Foil	stimuli/objects/foils/foil_1456.JPG	0	5%	None	1.736	0
175.0	3.5	First	stimuli/objects/setsof2/003a.jpg	3	3#	New	0.596	0
