onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1169.JPG	0	3#	New	0.599	0
3.5	3.5	First	stimuli/objects/setsof2/085a.jpg	85	3#	New	0.738	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1672.JPG	0	3#	New	0.791	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1329.JPG	0	3#	New	1.023	0
14.0	3.5	Foil	stimuli/objects/foils/foil_1331.JPG	0	3#	New	1.423	0
17.5	3.5	First	stimuli/objects/setsof2/046b.jpg	46	3#	New	1.189	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1525.JPG	0	3#	New	0.873	0
24.5	3.5	Foil	stimuli/objects/foils/foil_1583.JPG	0	3#	New	1.107	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1507.JPG	0	3#	New	1.281	0
31.5	3.5	First	stimuli/objects/setsof2/114b.jpg	114	3#	New	1.086	0
35.0	3.5	Foil	stimuli/objects/foils/foil_1385.JPG	0	3#	New	0.696	0
38.5	3.5	First	stimuli/objects/setsof2/118a.jpg	118	3#	New	0.582	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1141.JPG	0	3#	New	0.648	0
45.5	3.5	First	stimuli/objects/setsof2/052a.jpg	52	3#	New	1.030	0
49.0	3.5	Foil	stimuli/objects/foils/foil_1541.JPG	0	3#	New	1.049	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1591.JPG	0	3#	New	1.129	0
56.0	3.5	First	stimuli/objects/setsof2/138a.jpg	138	5%	None	1.746	0
59.5	3.5	Repeat	stimuli/objects/setsof2/114b.jpg	114	1!	Old	1.123	0
63.0	3.5	Repeat	stimuli/objects/setsof2/046b.jpg	46	1!	Old	1.160	0
66.5	3.5	First	stimuli/objects/setsof2/040b.jpg	40	3#	New	0.924	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1639.JPG	0	3#	New	1.225	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1605.JPG	0	3#	New	0.944	0
77.0	3.5	First	stimuli/objects/setsof2/129b.jpg	129	3#	New	0.605	0
80.5	3.5	Foil	stimuli/objects/foils/foil_1213.JPG	0	3#	New	0.667	0
84.0	3.5	Foil	stimuli/objects/foils/foil_1170.JPG	0	3#	New	0.863	0
87.5	3.5	Foil	stimuli/objects/foils/foil_1665.JPG	0	3#	New	0.842	0
91.0	3.5	Lure	stimuli/objects/setsof2/138b.jpg	138	2@	Similar	1.609	2
94.5	3.5	First	stimuli/objects/setsof2/192a.jpg	192	5%	None	1.745	0
98.0	3.5	Foil	stimuli/objects/foils/foil_1002.jpg	0	3#	New	0.835	0
101.5	3.5	Foil	stimuli/objects/foils/foil_1451.JPG	0	5%	None	1.743	0
105.0	3.5	First	stimuli/objects/setsof2/169a.jpg	169	3#	New	0.998	0
108.5	3.5	Foil	stimuli/objects/foils/foil_1435.JPG	0	5%	None	1.743	0
112.0	3.5	First	stimuli/objects/setsof2/021a.jpg	21	3#	New	0.682	0
115.5	3.5	Foil	stimuli/objects/foils/foil_1473.JPG	0	2@	Similar	1.334	0
119.0	3.5	Foil	stimuli/objects/foils/foil_1084.JPG	0	3#	New	1.557	0
122.5	3.5	First	stimuli/objects/setsof2/131a.jpg	131	3#	New	1.090	0
126.0	3.5	Foil	stimuli/objects/foils/foil_1708.JPG	0	3#	New	0.862	0
129.5	3.5	First	stimuli/objects/setsof2/037b.jpg	37	3#	New	1.038	0
133.0	3.5	Foil	stimuli/objects/foils/foil_1031.JPG	0	3#	New	0.927	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1167.JPG	0	3#	New	1.156	0
140.0	3.5	First	stimuli/objects/setsof2/031b.jpg	31	3#	New	0.803	0
143.5	3.5	Foil	stimuli/objects/foils/foil_1376.JPG	0	3#	New	0.776	0
147.0	3.5	Lure	stimuli/objects/setsof2/085b.jpg	85	2@	Similar	0.957	3
150.5	3.5	Foil	stimuli/objects/foils/foil_1217.JPG	0	3#	New	0.941	0
154.0	3.5	First	stimuli/objects/setsof2/124b.jpg	124	3#	New	1.144	0
157.5	3.5	Foil	stimuli/objects/foils/foil_1250.JPG	0	3#	New	0.739	0
161.0	3.5	First	stimuli/objects/setsof2/067a.jpg	67	3#	New	1.022	0
164.5	3.5	Repeat	stimuli/objects/setsof2/131a.jpg	131	1!	Old	1.113	0
168.0	3.5	Foil	stimuli/objects/foils/foil_1239.JPG	0	5%	None	1.741	0
171.5	3.5	Lure	stimuli/objects/setsof2/037a.jpg	37	1!	Old	1.013	6
175.0	3.5	First	stimuli/objects/setsof2/001b.jpg	1	5%	None	1.741	0
178.5	3.5	Repeat	stimuli/objects/setsof2/118a.jpg	118	1!	Old	1.303	0
182.0	3.5	First	stimuli/objects/setsof2/184b.jpg	184	3#	New	1.072	0
185.5	3.5	Repeat	stimuli/objects/setsof2/052a.jpg	52	1!	Old	0.966	0
189.0	3.5	Foil	stimuli/objects/foils/foil_1349.JPG	0	5%	None	1.740	0
192.5	3.5	First	stimuli/objects/setsof2/009b.jpg	9	5%	None	1.740	0
196.0	3.5	Foil	stimuli/objects/foils/foil_1480.JPG	0	3#	New	0.738	0
199.5	3.5	Foil	stimuli/objects/foils/foil_1547.JPG	0	3#	New	0.899	0
203.0	3.5	First	stimuli/objects/setsof2/116b.jpg	116	3#	New	0.805	0
206.5	3.5	Repeat	stimuli/objects/setsof2/021a.jpg	21	1!	Old	0.959	0
210.0	3.5	Lure	stimuli/objects/setsof2/031a.jpg	31	5%	None	1.739	6
213.5	3.5	First	stimuli/objects/setsof2/154b.jpg	154	5%	None	1.739	0
217.0	3.5	Lure	stimuli/objects/setsof2/129a.jpg	129	2@	Similar	1.352	4
220.5	3.5	Lure	stimuli/objects/setsof2/124a.jpg	124	2@	Similar	1.021	1
224.0	3.5	First	stimuli/objects/setsof2/073a.jpg	73	3#	New	1.280	0
227.5	3.5	Lure	stimuli/objects/setsof2/040a.jpg	40	2@	Similar	1.170	5
231.0	3.5	Foil	stimuli/objects/foils/foil_1131.JPG	0	3#	New	1.541	0
234.5	3.5	Lure	stimuli/objects/setsof2/192b.jpg	192	2@	Similar	1.417	2
238.0	3.5	Lure	stimuli/objects/setsof2/169b.jpg	169	5%	None	1.738	5
241.5	3.5	Repeat	stimuli/objects/setsof2/001b.jpg	1	1!	Old	0.856	0
245.0	3.5	First	stimuli/objects/setsof2/122a.jpg	122	3#	New	1.433	0
248.5	3.5	Repeat	stimuli/objects/setsof2/154b.jpg	154	1!	Old	1.215	0
252.0	3.5	Lure	stimuli/objects/setsof2/184a.jpg	184	2@	Similar	1.179	5
255.5	3.5	First	stimuli/objects/setsof2/038b.jpg	38	3#	New	1.544	0
259.0	3.5	First	stimuli/objects/setsof2/182b.jpg	182	5%	None	1.738	0
262.5	3.5	Repeat	stimuli/objects/setsof2/009b.jpg	9	1!	Old	1.100	0
266.0	3.5	Repeat	stimuli/objects/setsof2/073a.jpg	73	1!	Old	1.683	0
269.5	3.5	First	stimuli/objects/setsof2/142a.jpg	142	3#	New	1.373	0
273.0	3.5	Lure	stimuli/objects/setsof2/116a.jpg	116	1!	Old	1.361	4
276.5	3.5	First	stimuli/objects/setsof2/148a.jpg	148	3#	New	1.659	0
280.0	3.5	Repeat	stimuli/objects/setsof2/122a.jpg	122	1!	Old	1.411	0
283.5	3.5	Repeat	stimuli/objects/setsof2/038b.jpg	38	1!	Old	1.121	0
287.0	3.5	First	stimuli/objects/setsof2/096a.jpg	96	3#	New	1.300	0
290.5	3.5	Lure	stimuli/objects/setsof2/182a.jpg	182	2@	Similar	1.127	4
294.0	3.5	Foil	stimuli/objects/foils/foil_1602.JPG	0	3#	New	0.918	0
297.5	3.5	Foil	stimuli/objects/foils/foil_1523.JPG	0	3#	New	1.092	0
301.0	3.5	Lure	stimuli/objects/setsof2/067b.jpg	67	2@	Similar	1.309	4
304.5	3.5	First	stimuli/objects/setsof2/140a.jpg	140	3#	New	0.950	0
308.0	3.5	First	stimuli/objects/setsof2/027b.jpg	27	3#	New	0.699	0
311.5	3.5	Foil	stimuli/objects/foils/foil_1537.JPG	0	3#	New	0.759	0
315.0	3.5	Foil	stimuli/objects/foils/foil_1191.JPG	0	3#	New	0.999	0
318.5	3.5	Lure	stimuli/objects/setsof2/148b.jpg	148	2@	Similar	1.378	4
322.0	3.5	First	stimuli/objects/setsof2/002b.jpg	2	3#	New	0.772	0
325.5	3.5	Repeat	stimuli/objects/setsof2/096a.jpg	96	3#	New	0.871	0
329.0	3.5	Foil	stimuli/objects/foils/foil_1050.jpg	0	3#	New	1.007	0
332.5	3.5	Lure	stimuli/objects/setsof2/140b.jpg	140	2@	Similar	1.596	6
336.0	3.5	First	stimuli/objects/setsof2/171a.jpg	171	5%	None	1.734	0
339.5	3.5	Foil	stimuli/objects/foils/foil_1462.JPG	0	3#	New	1.458	0
343.0	3.5	Lure	stimuli/objects/setsof2/027a.jpg	27	1!	Old	1.715	6
346.5	3.5	Repeat	stimuli/objects/setsof2/142a.jpg	142	1!	Old	1.149	0
350.0	3.5	Foil	stimuli/objects/foils/foil_1142.JPG	0	3#	New	1.010	0
353.5	3.5	Repeat	stimuli/objects/setsof2/002b.jpg	2	1!	Old	1.253	0
357.0	3.5	Foil	stimuli/objects/foils/foil_1139.JPG	0	3#	New	1.007	0
360.5	3.5	Foil	stimuli/objects/foils/foil_1710.JPG	0	3#	New	1.595	0
