onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1705.jpg	0	3#	New	1.253	0
3.5	3.5	First	stimuli/objects/setsof2/191b.jpg	191	3#	New	0.791	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1078.JPG	0	3#	New	0.590	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1676.JPG	0	3#	New	0.460	0
14.0	3.5	Foil	stimuli/objects/foils/foil_1149.JPG	0	3#	New	0.613	0
17.5	3.5	First	stimuli/objects/setsof2/126b.jpg	126	3#	New	0.903	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1184.JPG	0	3#	New	0.988	0
24.5	3.5	Foil	stimuli/objects/foils/foil_1482.JPG	0	3#	New	0.603	0
28.0	3.5	First	stimuli/objects/setsof2/116b.jpg	116	3#	New	0.882	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1379.JPG	0	3#	New	0.596	0
35.0	3.5	First	stimuli/objects/setsof2/045a.jpg	45	3#	New	1.180	0
38.5	3.5	Foil	stimuli/objects/foils/foil_1336.JPG	0	3#	New	0.736	0
42.0	3.5	Repeat	stimuli/objects/setsof2/191b.jpg	191	1!	Old	1.338	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1253.JPG	0	3#	New	1.265	0
49.0	3.5	Repeat	stimuli/objects/setsof2/126b.jpg	126	1!	Old	1.170	0
52.5	3.5	First	stimuli/objects/setsof2/015b.jpg	15	3#	New	0.811	0
56.0	3.5	First	stimuli/objects/setsof2/139b.jpg	139	3#	New	0.806	0
59.5	3.5	Repeat	stimuli/objects/setsof2/116b.jpg	116	1!	Old	1.237	0
63.0	3.5	Foil	stimuli/objects/foils/foil_1475.JPG	0	3#	New	1.296	0
66.5	3.5	Foil	stimuli/objects/foils/foil_1581.JPG	0	3#	New	1.514	0
70.0	3.5	Repeat	stimuli/objects/setsof2/045a.jpg	45	1!	Old	1.151	0
73.5	3.5	First	stimuli/objects/setsof2/073b.jpg	73	3#	New	0.942	0
77.0	3.5	Foil	stimuli/objects/foils/foil_1176.JPG	0	5%	None	1.744	0
80.5	3.5	First	stimuli/objects/setsof2/010b.jpg	10	3#	New	0.763	0
84.0	3.5	Foil	stimuli/objects/foils/foil_1470.JPG	0	3#	New	1.315	0
87.5	3.5	First	stimuli/objects/setsof2/112b.jpg	112	3#	New	1.568	0
91.0	3.5	Repeat	stimuli/objects/setsof2/139b.jpg	139	1!	Old	0.936	0
94.5	3.5	Foil	stimuli/objects/foils/foil_1683.JPG	0	3#	New	1.313	0
98.0	3.5	First	stimuli/objects/setsof2/102b.jpg	102	3#	New	1.438	0
101.5	3.5	Lure	stimuli/objects/setsof2/073a.jpg	73	5%	None	1.742	4
105.0	3.5	Foil	stimuli/objects/foils/foil_1559.JPG	0	3#	New	1.595	0
108.5	3.5	First	stimuli/objects/setsof2/013b.jpg	13	5%	None	1.742	0
112.0	3.5	Lure	stimuli/objects/setsof2/010a.jpg	10	2@	Similar	1.086	4
115.5	3.5	Foil	stimuli/objects/foils/foil_1268.JPG	0	5%	None	1.742	0
119.0	3.5	First	stimuli/objects/setsof2/176b.jpg	176	5%	None	1.741	0
122.5	3.5	Lure	stimuli/objects/setsof2/015a.jpg	15	2@	Similar	1.554	2
126.0	3.5	Repeat	stimuli/objects/setsof2/112b.jpg	112	5%	None	1.741	0
129.5	3.5	Foil	stimuli/objects/foils/foil_1622.JPG	0	3#	New	0.850	0
133.0	3.5	First	stimuli/objects/setsof2/097b.jpg	97	3#	New	1.209	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1533.JPG	0	3#	New	0.858	0
140.0	3.5	First	stimuli/objects/setsof2/164a.jpg	164	3#	New	0.879	0
143.5	3.5	Foil	stimuli/objects/foils/foil_1602.JPG	0	3#	New	1.005	0
147.0	3.5	Lure	stimuli/objects/setsof2/102a.jpg	102	5%	None	1.739	3
150.5	3.5	Foil	stimuli/objects/foils/foil_1289.JPG	0	5%	None	1.739	0
154.0	3.5	First	stimuli/objects/setsof2/132a.jpg	132	3#	New	0.703	0
157.5	3.5	Foil	stimuli/objects/foils/foil_1082.JPG	0	3#	New	1.461	0
161.0	3.5	Foil	stimuli/objects/foils/foil_1035.JPG	0	3#	New	0.738	0
164.5	3.5	First	stimuli/objects/setsof2/184a.jpg	184	3#	New	0.847	0
168.0	3.5	Foil	stimuli/objects/foils/foil_1328.JPG	0	3#	New	0.792	0
171.5	3.5	First	stimuli/objects/setsof2/188a.jpg	188	3#	New	1.065	0
175.0	3.5	Foil	stimuli/objects/foils/foil_1625.JPG	0	3#	New	0.946	0
178.5	3.5	Foil	stimuli/objects/foils/foil_1588.JPG	0	3#	New	0.892	0
182.0	3.5	First	stimuli/objects/setsof2/068a.jpg	68	3#	New	1.386	0
185.5	3.5	Foil	stimuli/objects/foils/foil_1656.JPG	0	3#	New	1.498	0
189.0	3.5	Foil	stimuli/objects/foils/foil_1218.JPG	0	3#	New	1.171	0
192.5	3.5	Foil	stimuli/objects/foils/foil_1136.JPG	0	3#	New	0.682	0
196.0	3.5	First	stimuli/objects/setsof2/076b.jpg	76	3#	New	0.908	0
199.5	3.5	Foil	stimuli/objects/foils/foil_1108.JPG	0	3#	New	0.658	0
203.0	3.5	First	stimuli/objects/setsof2/006b.jpg	6	3#	New	0.598	0
206.5	3.5	Lure	stimuli/objects/setsof2/188b.jpg	188	3#	New	1.696	4
210.0	3.5	Foil	stimuli/objects/foils/foil_1658.JPG	0	3#	New	0.893	0
213.5	3.5	Foil	stimuli/objects/foils/foil_1529.JPG	0	5%	None	1.736	0
217.0	3.5	Foil	stimuli/objects/foils/foil_1087.JPG	0	5%	None	1.735	0
220.5	3.5	Foil	stimuli/objects/foils/foil_1462.JPG	0	3#	New	1.555	0
224.0	3.5	First	stimuli/objects/setsof2/140b.jpg	140	3#	New	0.672	0
227.5	3.5	Foil	stimuli/objects/foils/foil_1070.JPG	0	3#	New	1.003	0
231.0	3.5	Foil	stimuli/objects/foils/foil_1346.JPG	0	3#	New	1.231	0
234.5	3.5	First	stimuli/objects/setsof2/090a.jpg	90	5%	None	1.734	0
238.0	3.5	Repeat	stimuli/objects/setsof2/006b.jpg	6	1!	Old	1.345	0
241.5	3.5	Foil	stimuli/objects/foils/foil_1651.JPG	0	3#	New	0.968	0
245.0	3.5	First	stimuli/objects/setsof2/087b.jpg	87	3#	New	0.850	0
248.5	3.5	Lure	stimuli/objects/setsof2/013a.jpg	13	5%	None	1.734	5
252.0	3.5	First	stimuli/objects/setsof2/021b.jpg	21	3#	New	1.268	0
255.5	3.5	Foil	stimuli/objects/foils/foil_1643.JPG	0	3#	New	1.340	0
259.0	3.5	Lure	stimuli/objects/setsof2/176a.jpg	176	2@	Similar	1.378	2
262.5	3.5	Foil	stimuli/objects/foils/foil_1452.JPG	0	3#	New	1.679	0
266.0	3.5	First	stimuli/objects/setsof2/115b.jpg	115	3#	New	1.472	0
269.5	3.5	Repeat	stimuli/objects/setsof2/097b.jpg	97	1!	Old	1.208	0
273.0	3.5	First	stimuli/objects/setsof2/181a.jpg	181	5%	None	1.731	0
276.5	3.5	First	stimuli/objects/setsof2/155a.jpg	155	3#	New	0.944	0
280.0	3.5	Lure	stimuli/objects/setsof2/164b.jpg	164	1!	Old	1.204	4
283.5	3.5	Lure	stimuli/objects/setsof2/090b.jpg	90	5%	None	1.731	3
287.0	3.5	Foil	stimuli/objects/foils/foil_1034.JPG	0	3#	New	1.004	0
290.5	3.5	Repeat	stimuli/objects/setsof2/132a.jpg	132	1!	Old	1.089	0
294.0	3.5	Repeat	stimuli/objects/setsof2/140b.jpg	140	1!	Old	1.240	0
297.5	3.5	First	stimuli/objects/setsof2/065a.jpg	65	1!	Old	1.527	0
301.0	3.5	Repeat	stimuli/objects/setsof2/184a.jpg	184	1!	Old	0.878	0
304.5	3.5	First	stimuli/objects/setsof2/144a.jpg	144	3#	New	1.439	0
308.0	3.5	Repeat	stimuli/objects/setsof2/021b.jpg	21	1!	Old	0.983	0
311.5	3.5	Lure	stimuli/objects/setsof2/155b.jpg	155	5%	None	1.728	3
315.0	3.5	Lure	stimuli/objects/setsof2/087a.jpg	87	5%	None	1.728	1
318.5	3.5	First	stimuli/objects/setsof2/041a.jpg	41	5%	None	1.728	0
322.0	3.5	Lure	stimuli/objects/setsof2/068b.jpg	68	1!	Old	1.055	5
325.5	3.5	Lure	stimuli/objects/setsof2/181b.jpg	181	5%	None	1.728	4
329.0	3.5	First	stimuli/objects/setsof2/190a.jpg	190	5%	None	1.728	0
332.5	3.5	Repeat	stimuli/objects/setsof2/076b.jpg	76	1!	Old	1.323	0
336.0	3.5	Repeat	stimuli/objects/setsof2/115b.jpg	115	1!	Old	1.038	0
339.5	3.5	Foil	stimuli/objects/foils/foil_1159.jpg	0	3#	New	1.400	0
343.0	3.5	First	stimuli/objects/setsof2/091b.jpg	91	5%	None	1.727	0
346.5	3.5	Foil	stimuli/objects/foils/foil_1214.JPG	0	3#	New	0.918	0
350.0	3.5	Lure	stimuli/objects/setsof2/091a.jpg	91	5%	None	1.726	2
353.5	3.5	Foil	stimuli/objects/foils/foil_1628.JPG	0	3#	New	1.505	0
357.0	3.5	Repeat	stimuli/objects/setsof2/144a.jpg	144	1!	Old	1.025	0
360.5	3.5	Foil	stimuli/objects/foils/foil_1282.JPG	0	3#	New	1.047	0
364.0	3.5	Repeat	stimuli/objects/setsof2/041a.jpg	41	1!	Old	0.923	0
367.5	3.5	Lure	stimuli/objects/setsof2/065b.jpg	65	1!	Old	1.172	2
371.0	3.5	Lure	stimuli/objects/setsof2/190b.jpg	190	5%	None	1.725	3
