onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1362.JPG	0	3#	New	1.005	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1241.JPG	0	3#	New	1.070	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1658.JPG	0	3#	New	0.673	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1688.JPG	0	3#	New	0.643	0
14.0	3.5	First	stimuli/objects/setsof2/192b.jpg	192	3#	New	0.573	0
17.5	3.5	First	stimuli/objects/setsof2/142a.jpg	142	3#	New	0.708	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1428.JPG	0	3#	New	0.573	0
24.5	3.5	Foil	stimuli/objects/foils/foil_1439.JPG	0	3#	New	0.837	0
28.0	3.5	First	stimuli/objects/setsof2/027a.jpg	27	3#	New	0.660	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1563.JPG	0	3#	New	0.983	0
35.0	3.5	Foil	stimuli/objects/foils/foil_1589.JPG	0	3#	New	0.984	0
38.5	3.5	Foil	stimuli/objects/foils/foil_1394.JPG	0	3#	New	1.016	0
42.0	3.5	First	stimuli/objects/setsof2/019a.jpg	19	3#	New	0.801	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1054.JPG	0	3#	New	0.749	0
49.0	3.5	First	stimuli/objects/setsof2/173b.jpg	173	3#	New	1.403	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1076.JPG	0	3#	New	0.783	0
56.0	3.5	First	stimuli/objects/setsof2/078a.jpg	78	3#	New	0.921	0
59.5	3.5	Lure	stimuli/objects/setsof2/027b.jpg	27	5%	None	1.744	6
63.0	3.5	Foil	stimuli/objects/foils/foil_1099.JPG	0	3#	New	1.046	0
66.5	3.5	First	stimuli/objects/setsof2/108a.jpg	108	3#	New	1.492	0
70.0	3.5	Repeat	stimuli/objects/setsof2/019a.jpg	19	1!	Old	1.242	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1140.JPG	0	5%	None	1.743	0
77.0	3.5	First	stimuli/objects/setsof2/066a.jpg	66	3#	New	0.908	0
80.5	3.5	Foil	stimuli/objects/foils/foil_1491.jpg	0	5%	None	1.742	0
84.0	3.5	Foil	stimuli/objects/foils/foil_1403.JPG	0	3#	New	0.532	0
87.5	3.5	Foil	stimuli/objects/foils/foil_1639.JPG	0	3#	New	0.943	0
91.0	3.5	First	stimuli/objects/setsof2/082b.jpg	82	3#	New	1.694	0
94.5	3.5	Foil	stimuli/objects/foils/foil_1089.JPG	0	3#	New	1.193	0
