onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1517.JPG	0	3#	New	0.979	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1562.JPG	0	3#	New	0.812	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1725.jpg	0	3#	New	1.289	0
10.5	3.5	First	stimuli/objects/setsof2/119b.jpg	119	3#	New	1.086	0
14.0	3.5	Foil	stimuli/objects/foils/foil_1560.JPG	0	3#	New	1.238	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1275.JPG	0	3#	New	1.352	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1506.JPG	0	3#	New	1.382	0
24.5	3.5	First	stimuli/objects/setsof2/115b.jpg	115	3#	New	1.308	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1570.JPG	0	3#	New	1.335	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1062.JPG	0	3#	New	0.960	0
35.0	3.5	First	stimuli/objects/setsof2/135b.jpg	135	3#	New	1.046	0
38.5	3.5	Repeat	stimuli/objects/setsof2/119b.jpg	119	1!	Old	0.970	0
42.0	3.5	First	stimuli/objects/setsof2/050a.jpg	50	3#	New	0.765	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1690.JPG	0	3#	New	1.018	0
49.0	3.5	Repeat	stimuli/objects/setsof2/135b.jpg	135	1!	Old	0.883	0
52.5	3.5	First	stimuli/objects/setsof2/081b.jpg	81	3#	New	0.837	0
56.0	3.5	First	stimuli/objects/setsof2/180b.jpg	180	3#	New	1.061	0
59.5	3.5	Foil	stimuli/objects/foils/foil_1514.JPG	0	3#	New	1.216	0
63.0	3.5	Foil	stimuli/objects/foils/foil_1650.JPG	0	3#	New	1.364	0
66.5	3.5	First	stimuli/objects/setsof2/179a.jpg	179	2@	Similar	1.238	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1368.JPG	0	3#	New	0.891	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1531.JPG	0	3#	New	1.257	0
77.0	3.5	First	stimuli/objects/setsof2/003b.jpg	3	3#	New	1.356	0
80.5	3.5	Lure	stimuli/objects/setsof2/081a.jpg	81	2@	Similar	1.279	1
84.0	3.5	Foil	stimuli/objects/foils/foil_1469.JPG	0	3#	New	0.867	0
87.5	3.5	Foil	stimuli/objects/foils/foil_1012.jpg	0	3#	New	1.295	0
91.0	3.5	Foil	stimuli/objects/foils/foil_1380.JPG	0	3#	New	1.093	0
94.5	3.5	First	stimuli/objects/setsof2/024b.jpg	24	3#	New	1.239	0
98.0	3.5	First	stimuli/objects/setsof2/124a.jpg	124	3#	New	1.163	0
101.5	3.5	Foil	stimuli/objects/foils/foil_1681.JPG	0	3#	New	0.998	0
105.0	3.5	Lure	stimuli/objects/setsof2/179b.jpg	179	5%	None	1.740	6
108.5	3.5	First	stimuli/objects/setsof2/054b.jpg	54	3#	New	1.069	0
112.0	3.5	Foil	stimuli/objects/foils/foil_1340.JPG	0	3#	New	1.667	0
115.5	3.5	Foil	stimuli/objects/foils/foil_1567.JPG	0	3#	New	0.857	0
119.0	3.5	First	stimuli/objects/setsof2/192a.jpg	192	3#	New	0.692	0
122.5	3.5	Lure	stimuli/objects/setsof2/024a.jpg	24	1!	Old	1.093	6
126.0	3.5	Foil	stimuli/objects/foils/foil_1329.JPG	0	3#	New	0.670	0
129.5	3.5	First	stimuli/objects/setsof2/118a.jpg	118	3#	New	1.013	0
133.0	3.5	Foil	stimuli/objects/foils/foil_1561.JPG	0	3#	New	0.701	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1404.jpg	0	3#	New	0.619	0
140.0	3.5	Foil	stimuli/objects/foils/foil_1125.JPG	0	3#	New	0.786	0
143.5	3.5	Foil	stimuli/objects/foils/foil_1640.JPG	0	3#	New	0.601	0
147.0	3.5	First	stimuli/objects/setsof2/154a.jpg	154	3#	New	0.579	0
150.5	3.5	First	stimuli/objects/setsof2/100a.jpg	100	3#	New	0.779	0
154.0	3.5	Foil	stimuli/objects/foils/foil_1483.JPG	0	3#	New	0.839	0
157.5	3.5	Repeat	stimuli/objects/setsof2/192a.jpg	192	1!	Old	0.872	0
161.0	3.5	Foil	stimuli/objects/foils/foil_1575.JPG	0	3#	New	0.754	0
164.5	3.5	Lure	stimuli/objects/setsof2/115a.jpg	115	5%	None	1.737	1
168.0	3.5	Foil	stimuli/objects/foils/foil_1501.JPG	0	3#	New	0.999	0
171.5	3.5	First	stimuli/objects/setsof2/020a.jpg	20	3#	New	1.129	0
175.0	3.5	First	stimuli/objects/setsof2/147a.jpg	147	3#	New	0.814	0
178.5	3.5	Lure	stimuli/objects/setsof2/050b.jpg	50	1!	Old	0.988	6
182.0	3.5	First	stimuli/objects/setsof2/132a.jpg	132	3#	New	0.966	0
185.5	3.5	Repeat	stimuli/objects/setsof2/100a.jpg	100	1!	Old	1.166	0
189.0	3.5	Foil	stimuli/objects/foils/foil_1187.JPG	0	3#	New	1.326	0
192.5	3.5	First	stimuli/objects/setsof2/001a.jpg	1	5%	None	1.735	0
196.0	3.5	Repeat	stimuli/objects/setsof2/180b.jpg	180	1!	Old	1.086	0
199.5	3.5	Foil	stimuli/objects/foils/foil_1105.jpg	0	3#	New	0.958	0
203.0	3.5	First	stimuli/objects/setsof2/191b.jpg	191	3#	New	0.760	0
206.5	3.5	Repeat	stimuli/objects/setsof2/118a.jpg	118	1!	Old	0.952	0
210.0	3.5	Lure	stimuli/objects/setsof2/154b.jpg	154	2@	Similar	1.496	1
213.5	3.5	First	stimuli/objects/setsof2/162a.jpg	162	3#	New	1.674	0
217.0	3.5	Foil	stimuli/objects/foils/foil_1636.JPG	0	3#	New	1.347	0
220.5	3.5	Repeat	stimuli/objects/setsof2/003b.jpg	3	1!	Old	1.113	0
224.0	3.5	Foil	stimuli/objects/foils/foil_1131.JPG	0	3#	New	0.766	0
227.5	3.5	Foil	stimuli/objects/foils/foil_1024.jpg	0	3#	New	0.653	0
231.0	3.5	Repeat	stimuli/objects/setsof2/147a.jpg	147	1!	Old	0.920	0
234.5	3.5	First	stimuli/objects/setsof2/134a.jpg	134	3#	New	1.419	0
238.0	3.5	First	stimuli/objects/setsof2/043b.jpg	43	3#	New	0.874	0
241.5	3.5	Lure	stimuli/objects/setsof2/124b.jpg	124	2@	Similar	1.144	1
245.0	3.5	First	stimuli/objects/setsof2/009a.jpg	9	3#	New	0.814	0
248.5	3.5	Repeat	stimuli/objects/setsof2/054b.jpg	54	1!	Old	1.089	0
252.0	3.5	Repeat	stimuli/objects/setsof2/132a.jpg	132	1!	Old	1.071	0
255.5	3.5	First	stimuli/objects/setsof2/004b.jpg	4	5%	None	1.731	0
259.0	3.5	Foil	stimuli/objects/foils/foil_1365.jpg	0	3#	New	0.967	0
262.5	3.5	Foil	stimuli/objects/foils/foil_1405.JPG	0	3#	New	0.977	0
266.0	3.5	First	stimuli/objects/setsof2/153b.jpg	153	3#	New	0.756	0
269.5	3.5	Lure	stimuli/objects/setsof2/134b.jpg	134	2@	Similar	1.245	1
273.0	3.5	Lure	stimuli/objects/setsof2/191a.jpg	191	2@	Similar	1.651	5
276.5	3.5	Lure	stimuli/objects/setsof2/043a.jpg	43	2@	Similar	1.574	5
280.0	3.5	Lure	stimuli/objects/setsof2/009b.jpg	9	1!	Old	1.410	4
283.5	3.5	Lure	stimuli/objects/setsof2/162b.jpg	162	2@	Similar	1.224	5
287.0	3.5	First	stimuli/objects/setsof2/042a.jpg	42	3#	New	1.382	0
290.5	3.5	Repeat	stimuli/objects/setsof2/004b.jpg	4	1!	Old	1.396	0
294.0	3.5	First	stimuli/objects/setsof2/035b.jpg	35	3#	New	1.031	0
297.5	3.5	First	stimuli/objects/setsof2/126a.jpg	126	3#	New	1.005	0
301.0	3.5	Repeat	stimuli/objects/setsof2/153b.jpg	153	1!	Old	0.937	0
304.5	3.5	Foil	stimuli/objects/foils/foil_1584.jpg	0	3#	New	1.003	0
308.0	3.5	Foil	stimuli/objects/foils/foil_1201.JPG	0	3#	New	0.875	0
311.5	3.5	Repeat	stimuli/objects/setsof2/020a.jpg	20	1!	Old	1.206	0
315.0	3.5	First	stimuli/objects/setsof2/190a.jpg	190	3#	New	1.181	0
318.5	3.5	First	stimuli/objects/setsof2/088a.jpg	88	3#	New	0.862	0
322.0	3.5	Foil	stimuli/objects/foils/foil_1112.JPG	0	2@	Similar	1.686	0
325.5	3.5	Repeat	stimuli/objects/setsof2/042a.jpg	42	1!	Old	0.874	0
329.0	3.5	Foil	stimuli/objects/foils/foil_1317.JPG	0	3#	New	0.813	0
332.5	3.5	Lure	stimuli/objects/setsof2/001b.jpg	1	2@	Similar	1.697	3
336.0	3.5	First	stimuli/objects/setsof2/087b.jpg	87	3#	New	1.522	0
339.5	3.5	Foil	stimuli/objects/foils/foil_1423.JPG	0	2@	Similar	1.716	0
343.0	3.5	Repeat	stimuli/objects/setsof2/190a.jpg	190	1!	Old	1.122	0
346.5	3.5	Lure	stimuli/objects/setsof2/035a.jpg	35	1!	Old	1.219	3
