onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1425.JP	0	3	New	0.826	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1177.JP	0	3	New	0.667	0
7.0	3.5	First	stimuli/objects/setsof2/051a.jp	51	3	New	1.410	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1636.JP	0	3	New	0.732	0
14.0	3.5	First	stimuli/objects/setsof2/143b.jp	143	3	New	0.610	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1665.JP	0	3	New	0.914	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1620.JP	0	3	New	0.700	0
24.5	3.5	First	stimuli/objects/setsof2/049a.jp	49	3	New	0.918	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1439.JP	0	3	New	1.126	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1112.JP	0	3	New	0.749	0
35.0	3.5	Foil	stimuli/objects/foils/foil_1300.JP	0	3	New	0.676	0
38.5	3.5	First	stimuli/objects/setsof2/112a.jp	112	3	New	0.491	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1400.jp	0	3	New	0.542	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1504.JP	0	3	New	0.653	0
49.0	3.5	Repeat	stimuli/objects/setsof2/143b.jp	143	1	Old	1.217	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1158.JP	0	3	New	1.184	0
56.0	3.5	First	stimuli/objects/setsof2/091b.jp	91	3	New	0.833	0
59.5	3.5	First	stimuli/objects/setsof2/033a.jp	33	3	New	0.871	0
63.0	3.5	Foil	stimuli/objects/foils/foil_1652.JP	0	3	New	1.429	0
66.5	3.5	Repeat	stimuli/objects/setsof2/049a.jp	49	1	Old	1.296	0
70.0	3.5	First	stimuli/objects/setsof2/153a.jp	153	3	New	0.950	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1042.JP	0	3	New	0.914	0
77.0	3.5	First	stimuli/objects/setsof2/141a.jp	141	3	New	1.400	0
80.5	3.5	Foil	stimuli/objects/foils/foil_1253.JP	0	3	New	0.699	0
84.0	3.5	Foil	stimuli/objects/foils/foil_1315.JP	0	3	New	0.970	0
87.5	3.5	Repeat	stimuli/objects/setsof2/112a.jp	112	1	Old	1.661	0
91.0	3.5	Foil	stimuli/objects/foils/foil_1704.JP	0	3	New	0.660	0
94.5	3.5	First	stimuli/objects/setsof2/008a.jp	8	3	New	0.733	0
98.0	3.5	First	stimuli/objects/setsof2/192a.jp	192	3	New	0.603	0
101.5	3.5	Foil	stimuli/objects/foils/foil_1660.jp	0	3	New	0.691	0
105.0	3.5	Foil	stimuli/objects/foils/foil_1517.JP	0	3	New	0.644	0
108.5	3.5	First	stimuli/objects/setsof2/174a.jp	174	3	New	0.607	0
112.0	3.5	Repeat	stimuli/objects/setsof2/141a.jp	141	5	None	1.739	0
115.5	3.5	Foil	stimuli/objects/foils/foil_1713.JP	0	3	New	0.591	0
119.0	3.5	Foil	stimuli/objects/foils/foil_1010.jp	0	3	New	0.989	0
122.5	3.5	Foil	stimuli/objects/foils/foil_1408.JP	0	3	New	0.900	0
126.0	3.5	Foil	stimuli/objects/foils/foil_1458.JP	0	3	New	0.769	0
129.5	3.5	First	stimuli/objects/setsof2/169a.jp	169	3	New	0.746	0
133.0	3.5	Foil	stimuli/objects/foils/foil_1334.JP	0	3	New	0.741	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1317.JP	0	3	New	0.866	0
140.0	3.5	First	stimuli/objects/setsof2/022a.jp	22	3	New	1.481	0
143.5	3.5	Repeat	stimuli/objects/setsof2/051a.jp	51	1	Old	1.260	0
147.0	3.5	First	stimuli/objects/setsof2/184a.jp	184	3	New	1.373	0
150.5	3.5	Foil	stimuli/objects/foils/foil_1540.JP	0	3	New	1.719	0
154.0	3.5	Foil	stimuli/objects/foils/foil_1007.jp	0	5	None	1.737	0
157.5	3.5	First	stimuli/objects/setsof2/074a.jp	74	3	New	1.331	0
161.0	3.5	First	stimuli/objects/setsof2/081b.jp	81	3	New	1.350	0
164.5	3.5	Foil	stimuli/objects/foils/foil_1618.JP	0	3	New	1.543	0
168.0	3.5	Foil	stimuli/objects/foils/foil_1252.JP	0	3	New	1.393	0
171.5	3.5	Foil	stimuli/objects/foils/foil_1352.JP	0	3	New	1.252	0
175.0	3.5	First	stimuli/objects/setsof2/029b.jp	29	3	New	0.640	0
178.5	3.5	Lure	stimuli/objects/setsof2/184b.jp	184	2	Similar	1.073	5
182.0	3.5	Lure	stimuli/objects/setsof2/174b.jp	174	2	Similar	0.995	6
185.5	3.5	Lure	stimuli/objects/setsof2/033b.jp	33	2	Similar	1.565	4
189.0	3.5	First	stimuli/objects/setsof2/144a.jp	144	3	New	0.796	0
192.5	3.5	First	stimuli/objects/setsof2/156a.jp	156	3	New	0.965	0
196.0	3.5	Lure	stimuli/objects/setsof2/091a.jp	91	2	Similar	1.109	2
199.5	3.5	Foil	stimuli/objects/foils/foil_1353.JP	0	3	New	1.426	0
203.0	3.5	First	stimuli/objects/setsof2/187a.jp	187	5	None	1.734	0
206.5	3.5	Lure	stimuli/objects/setsof2/153b.jp	153	2	Similar	1.425	4
210.0	3.5	Foil	stimuli/objects/foils/foil_1186.JP	0	3	New	0.728	0
213.5	3.5	Foil	stimuli/objects/foils/foil_1653.JP	0	3	New	1.622	0
217.0	3.5	First	stimuli/objects/setsof2/030a.jp	30	3	New	1.730	0
220.5	3.5	Lure	stimuli/objects/setsof2/074b.jp	74	2	Similar	1.637	6
224.0	3.5	Lure	stimuli/objects/setsof2/144b.jp	144	2	Similar	1.263	3
227.5	3.5	Repeat	stimuli/objects/setsof2/008a.jp	8	1	Old	1.363	0
231.0	3.5	First	stimuli/objects/setsof2/035b.jp	35	3	New	1.654	0
234.5	3.5	Repeat	stimuli/objects/setsof2/081b.jp	81	5	None	1.733	0
238.0	3.5	First	stimuli/objects/setsof2/040b.jp	40	3	New	0.787	0
241.5	3.5	Repeat	stimuli/objects/setsof2/029b.jp	29	5	None	1.732	0
245.0	3.5	First	stimuli/objects/setsof2/020a.jp	20	3	New	0.654	0
248.5	3.5	Lure	stimuli/objects/setsof2/192b.jp	192	2	Similar	1.531	2
252.0	3.5	Foil	stimuli/objects/foils/foil_1392.JP	0	5	None	1.732	0
255.5	3.5	Repeat	stimuli/objects/setsof2/030a.jp	30	1	Old	1.166	0
259.0	3.5	Lure	stimuli/objects/setsof2/022b.jp	22	3	New	1.416	5
262.5	3.5	Repeat	stimuli/objects/setsof2/156a.jp	156	1	Old	1.198	0
266.0	3.5	First	stimuli/objects/setsof2/149b.jp	149	3	New	0.765	0
269.5	3.5	Repeat	stimuli/objects/setsof2/169a.jp	169	1	Old	1.320	0
273.0	3.5	First	stimuli/objects/setsof2/120a.jp	120	3	New	0.663	0
276.5	3.5	First	stimuli/objects/setsof2/046b.jp	46	3	New	0.771	0
280.0	3.5	Repeat	stimuli/objects/setsof2/020a.jp	20	2	Similar	1.641	0
283.5	3.5	Foil	stimuli/objects/foils/foil_1318.JP	0	3	New	0.761	0
287.0	3.5	Repeat	stimuli/objects/setsof2/187a.jp	187	1	Old	1.170	0
290.5	3.5	Lure	stimuli/objects/setsof2/149a.jp	149	2	Similar	1.115	2
294.0	3.5	Lure	stimuli/objects/setsof2/035a.jp	35	2	Similar	1.135	3
297.5	3.5	First	stimuli/objects/setsof2/161a.jp	161	3	New	1.489	0
301.0	3.5	Lure	stimuli/objects/setsof2/120b.jp	120	5	None	1.730	6
304.5	3.5	Lure	stimuli/objects/setsof2/040a.jp	40	2	Similar	1.037	5
308.0	3.5	First	stimuli/objects/setsof2/140b.jp	140	3	New	1.227	0
311.5	3.5	Repeat	stimuli/objects/setsof2/046b.jp	46	1	Old	1.097	0
315.0	3.5	Foil	stimuli/objects/foils/foil_1322.JP	0	3	New	1.450	0
318.5	3.5	First	stimuli/objects/setsof2/188a.jp	188	3	New	1.648	0
322.0	3.5	Repeat	stimuli/objects/setsof2/161a.jp	161	1	Old	1.060	0
325.5	3.5	First	stimuli/objects/setsof2/012a.jp	12	3	New	0.797	0
329.0	3.5	Foil	stimuli/objects/foils/foil_1516.JP	0	3	New	1.451	0
332.5	3.5	Lure	stimuli/objects/setsof2/140a.jp	140	5	None	1.727	6
336.0	3.5	Foil	stimuli/objects/foils/foil_1508.JP	0	3	New	1.054	0
339.5	3.5	Foil	stimuli/objects/foils/foil_1379.JP	0	3	New	0.848	0
343.0	3.5	Lure	stimuli/objects/setsof2/012b.jp	12	2	Similar	1.043	1
346.5	3.5	Foil	stimuli/objects/foils/foil_1202.JP	0	3	New	0.803	0
350.0	3.5	Foil	stimuli/objects/foils/foil_1008.jp	0	3	New	1.022	0
